Player id,Radar,Scenario,Jet Picked,Reaction Time,is Correct
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,8,1,0.5183487,True
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,5,1,0.05049515,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,9,1,0.06258965,True
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,4,1,0.02992439,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,2,1,0.170208,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,10,1,0.1337795,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,1,1,0.03652191,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,6,1,0.02106285,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,3,1,0.03495789,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,2,7,1,0.1021156,True
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,6,1,0.1002903,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,4,1,0.050457,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,2,1,0.03313637,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,1,1,0.03674316,True
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,8,1,0.05205917,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,7,1,0.03607941,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,10,1,0.50243,True
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,9,1,0.06626892,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,5,1,0.01860046,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,1,3,1,0.1526604,True
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,3,2,1,0.1850624,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,3,6,1,0.1472664,False
da7d7548-441e-46f5-b2b7-fc6bbc64bfb2,3,9,1,0.1644783,False
